Timestamp,Price,LDP
1738317096,1760.28,8
1738317098,1760.15,5
1738317100,1759.49,9
1738317102,1759.39,9
1738317104,1759.3,0
1738317106,1760.17,7
1738317108,1760.48,8
1738317110,1760.79,9
1738317112,1760.4,0
1738317114,1759.96,6
1738317116,1759.84,4
1738317118,1758.71,1
1738317120,1758.87,7
1738317122,1758.37,7
1738317124,1757.85,5
1738317126,1758.19,9
1738317128,1758.18,8
1738317130,1758.34,4
1738317132,1757.82,2
1738317134,1756.89,9
1738317136,1756.64,4
1738317138,1756.62,2
1738317140,1756.05,5
1738317142,1756.54,4
1738317144,1757.36,6
1738317146,1757.1,0
1738317148,1756.97,7
1738317150,1756.72,2
1738317152,1756.73,3
1738317154,1756.04,4
1738317156,1755.61,1
1738317158,1754.84,4
1738317160,1754.94,4
1738317162,1755.14,4
1738317164,1754.91,1
1738317166,1755.35,5
1738317168,1755.78,8
1738317170,1756.53,3
1738317172,1756.44,4
1738317174,1756.54,4
1738317176,1756.85,5
1738317178,1756.34,4
1738317180,1756.3,0
1738317182,1756.65,5
1738317184,1756.79,9
1738317186,1756.31,1
1738317188,1756.29,9
1738317190,1756.19,9
1738317192,1756.05,5
1738317194,1755.66,6
1738317196,1755.8,0
1738317198,1756.47,7
1738317200,1756.57,7
1738317202,1756.78,8
1738317204,1757.2,0
1738317206,1756.66,6
1738317208,1757.06,6
1738317210,1757.42,2
1738317212,1757.26,6
1738317214,1757.55,5
1738317216,1757.86,6
1738317218,1757.45,5
1738317220,1757.1,0
1738317222,1756.74,4
1738317224,1756.38,8
1738317226,1756.42,2
1738317228,1756.55,5
1738317230,1756.93,3
1738317232,1757.13,3
1738317234,1757.49,9
1738317236,1757.02,2
1738317238,1758.08,8
1738317240,1757.49,9
1738317242,1756.76,6
1738317244,1757.38,8
1738317246,1757.32,2
1738317248,1757.68,8
1738317250,1758.53,3
1738317252,1759.42,2
1738317254,1759.77,7
1738317256,1759.92,2
1738317258,1760.14,4
1738317260,1760.44,4
1738317262,1760.83,3
1738317264,1761.35,5
1738317266,1761.2,0
1738317268,1760.88,8
1738317270,1761.4,0
1738317272,1761.51,1
1738317274,1760.91,1
1738317276,1761.16,6
1738317278,1761.88,8
1738317280,1762.48,8
1738317282,1762.27,7
1738317284,1762.38,8
1738317286,1762.47,7
1738317288,1762.63,3
1738317290,1762.21,1
1738317292,1761.97,7
1738317294,1762.24,4
1738317296,1762.35,5
1738317298,1762.67,7
1738317300,1762.44,4
1738317302,1763.02,2
1738317304,1762.83,3
1738317306,1763.1,0
1738317308,1763.32,2
1738317310,1763.38,8
1738317312,1763.12,2
1738317314,1763.79,9
1738317316,1764.3,0
1738317318,1764.19,9
1738317320,1764.98,8
1738317322,1764.85,5
1738317324,1764.38,8
1738317326,1764.29,9
1738317328,1763.84,4
1738317330,1764.23,3
1738317332,1764.49,9
1738317334,1765.06,6
1738317336,1765.94,4
1738317338,1765.83,3
1738317340,1766.12,2
1738317342,1766.4,0
1738317344,1766.14,4
1738317346,1765.56,6
1738317348,1766.16,6
1738317350,1767.07,7
1738317352,1766.69,9
1738317354,1766.16,6
1738317356,1765.8,0
1738317358,1765.5,0
1738317360,1765.86,6
1738317362,1765.41,1
1738317364,1765.56,6
1738317366,1765.46,6
1738317368,1766.15,5
1738317370,1766.42,2
1738317372,1767.13,3
1738317374,1767.29,9
1738317376,1768.18,8
1738317378,1767.26,6
1738317380,1767.05,5
1738317382,1767.54,4
1738317384,1768.03,3
1738317386,1767.9,0
1738317388,1768.01,1
1738317390,1767.98,8
1738317392,1768.06,6
1738317394,1768.18,8
1738317396,1768.06,6
1738317398,1768.08,8
1738317400,1767.94,4
1738317402,1768.41,1
1738317404,1768.62,2
1738317406,1768.58,8
1738317408,1768.28,8
1738317410,1768.41,1
1738317412,1768.79,9
1738317414,1769.49,9
1738317416,1768.87,7
1738317418,1769.04,4
1738317420,1768.58,8
1738317422,1768.58,8
1738317424,1768.97,7
1738317426,1768.83,3
1738317428,1768.89,9
1738317430,1769.16,6
1738317432,1769,0
1738317434,1769.14,4
1738317436,1769.14,4
1738317438,1769.76,6
1738317440,1770.46,6
1738317442,1770.76,6
1738317444,1770.65,5
1738317446,1770.66,6
1738317448,1770.76,6
1738317450,1771.2,0
1738317452,1771.68,8
1738317454,1771.53,3
1738317456,1770.83,3
1738317458,1771.49,9
1738317460,1771.8,0
1738317462,1771.89,9
1738317464,1771.53,3
1738317466,1772.26,6
1738317468,1771.35,5
1738317470,1771.24,4
1738317472,1770.4,0
1738317474,1770.38,8
1738317476,1771.03,3
1738317478,1771.74,4
1738317480,1771.45,5
1738317482,1771.14,4
1738317484,1771.65,5
1738317486,1771.7,0
1738317488,1771.96,6
1738317490,1772.61,1
1738317492,1772.65,5
1738317494,1773.43,3
1738317496,1773.58,8
1738317498,1774.19,9
1738317500,1773.59,9
1738317502,1774.12,2
1738317504,1774.18,8
1738317506,1774.02,2
1738317508,1774.05,5
1738317510,1773.52,2
1738317512,1772.93,3
1738317514,1772.56,6
1738317516,1772.5,0
1738317518,1773.09,9
1738317520,1773.22,2
1738317522,1771.99,9
1738317524,1771.57,7
1738317526,1771.9,0
1738317528,1771.42,2
1738317530,1771.72,2
1738317532,1771.68,8
1738317534,1771.95,5
1738317536,1772.02,2
1738317538,1771.73,3
1738317540,1771.05,5
1738317542,1771.23,3
1738317544,1771.28,8
1738317546,1770.77,7
1738317548,1770.93,3
1738317550,1771.02,2
1738317552,1770.16,6
1738317554,1769.79,9
1738317556,1770.15,5
1738317558,1770.2,0
1738317560,1770.49,9
1738317562,1769.97,7
1738317564,1769.74,4
1738317566,1769.64,4
1738317568,1769.36,6
1738317570,1769.32,2
1738317572,1769.25,5
1738317574,1768.67,7
1738317576,1768.26,6
1738317578,1768.14,4
1738317580,1768.04,4
1738317582,1768.37,7
1738317584,1768.15,5
1738317586,1768.62,2
1738317588,1768.88,8
1738317590,1768.38,8
1738317592,1767.82,2
1738317594,1767.8,0
1738317596,1767.66,6
1738317598,1767.33,3
1738317600,1767.78,8
1738317602,1767.08,8
1738317604,1767.37,7
1738317606,1767.43,3
1738317608,1767.58,8
1738317610,1767.84,4
1738317612,1768.62,2
1738317614,1768.92,2
1738317616,1769.51,1
1738317618,1770.13,3
1738317620,1770.35,5
1738317622,1769.29,9
1738317624,1768.92,2
1738317626,1768.62,2
1738317628,1768.9,0
